driver_id,delivery_distance_meters
8590.0,1253.0
8592.0,522515.0
8597.0,72702.0
8598.0,187290.0
8615.0,14540.0
8642.0,21179.0
8654.0,1031321.0
8655.0,157200.0
8694.0,950.0
8697.0,4578.0
8698.0,842567.0
8702.0,12174.0
8708.0,6980.0
8710.0,24340.0
8713.0,46568.0
8769.0,84471.0
8771.0,608039.0
8811.0,49075.0
8838.0,17105.0
8840.0,526942.0
8855.0,112718.0
8878.0,117361.0
8909.0,150570.0
8925.0,4676.0
8933.0,3639.0
8940.0,297626.0
8958.0,320085.0
8959.0,176855.0
8964.0,141938.0
8970.0,370837.0
8979.0,113445.0
8983.0,5049.0
8986.0,6248.0
9022.0,87182.0
9025.0,1219307.0
9033.0,11654.0
9043.0,1791709.0
9062.0,268963.0
9070.0,15343.0
9095.0,4329.0
9129.0,27647.0
9131.0,61723.0
9171.0,113316.0
9175.0,7077.0
9177.0,167388.0
9182.0,259139.0
9184.0,8777.0
9186.0,142865.0
9190.0,25709.0
9194.0,95094.0
9210.0,29522.0
9211.0,334723.0
9212.0,5194.0
9222.0,1204343.0
9227.0,136117.0
9231.0,45806.0
9232.0,3846.0
9241.0,66829.0
9250.0,103936.0
9262.0,55487.0
9282.0,65485.0
9284.0,57666.0
9299.0,9951.0
9301.0,244613.0
9304.0,5776.0
9315.0,246361.0
9317.0,1382947.0
9339.0,24851.0
9341.0,10652.0
9345.0,291412.0
9353.0,453205.0
9354.0,83080.0
9369.0,5500.0
9372.0,2505.0
9375.0,29330.0
9380.0,63250.0
9391.0,1106904.0
9392.0,201004.0
9400.0,503001.0
9407.0,4847.0
9433.0,2365.0
9461.0,726375.0
9509.0,3208578.0
9517.0,481526.0
9540.0,202526.0
9547.0,4414.0
9583.0,40413.0
9584.0,379372.0
9598.0,2570.0
9600.0,203581.0
9612.0,369034.0
9618.0,997302.0
9624.0,79962.0
9627.0,5246.0
9634.0,25252.0
9638.0,307708.0
9654.0,385322.0
9663.0,5137.0
9669.0,31168.0
9682.0,43560.0
9693.0,43341.0
9709.0,407714.0
9716.0,75490.0
9761.0,1144.0
9782.0,277377.0
9784.0,4987.0
9788.0,15164.0
9791.0,7694.0
9793.0,149450.0
9794.0,80207.0
9796.0,317807.0
9805.0,405819.0
9806.0,2965842.0
9823.0,64429.0
9827.0,61954.0
9828.0,149862.0
9836.0,41581.0
9853.0,2100.0
9855.0,25545.0
9891.0,105074.0
9894.0,18083.0
9908.0,46611.0
9921.0,93682.0
9922.0,27542.0
9924.0,306811.0
9926.0,11796.0
9938.0,48754.0
9941.0,21537.0
9944.0,446438.0
9945.0,25986.0
9952.0,8072.0
9966.0,3046.0
9975.0,63468.0
9980.0,39680.0
9989.0,17215.0
9996.0,614831.0
10011.0,3275.0
10018.0,79142.0
10019.0,1492578.0
10023.0,1041058.0
10024.0,200815.0
10028.0,46752.0
10041.0,12742.0
10050.0,3766.0
10053.0,269158.0
10057.0,31911.0
10061.0,78111.0
10066.0,127640.0
10073.0,42235.0
10075.0,20663.0
10091.0,334979.0
10096.0,942.0
10127.0,369176.0
10129.0,10342.0
10150.0,164049.0
10180.0,119579.0
10200.0,1627997.0
10239.0,303547.0
10259.0,230568.0
10271.0,334181.0
10281.0,61319.0
10292.0,1731052.0
10293.0,911357.0
10294.0,1092679.0
10298.0,1598.0
10306.0,25723.0
10341.0,57053.0
10359.0,689788.0
10368.0,38320.0
10372.0,27102.0
10378.0,115539.0
10454.0,333177.0
10455.0,3048.0
10456.0,6895.0
10463.0,81808.0
10469.0,1398.0
10503.0,908874.0
10504.0,212937.0
10514.0,103323.0
10519.0,33987.0
10530.0,190371.0
10534.0,389764.0
10545.0,294153.0
10560.0,1190106.0
10561.0,21237.0
10569.0,41284.0
10598.0,18085.0
10601.0,790.0
10607.0,1565330.0
10614.0,2189606.0
10616.0,34207.0
10626.0,4014.0
10627.0,19337.0
10636.0,1561575.0
10639.0,835.0
10648.0,70095.0
10651.0,1107.0
10666.0,527960.0
10682.0,1616024.0
10685.0,397573.0
10692.0,105528.0
10717.0,93793.0
10756.0,2082.0
10763.0,6184.0
10765.0,3505.0
10776.0,11193.0
10790.0,7930.0
10794.0,456.0
10799.0,596283.0
10800.0,28223.0
10803.0,1067054.0
10804.0,11248.0
10817.0,14571.0
10824.0,282240.0
10830.0,346674.0
10831.0,15572.0
10832.0,5095.0
10848.0,28927.0
10877.0,395613.0
10882.0,95652.0
10911.0,7916.0
10915.0,469886.0
10920.0,30907.0
10926.0,389.0
10927.0,1745841.0
10932.0,190759.0
10953.0,4755.0
10964.0,370916.0
10975.0,17778.0
10978.0,198952.0
10988.0,129800.0
11027.0,93863.0
11032.0,2093.0
11037.0,22660.0
11063.0,4829062.0
11076.0,49435.0
11084.0,1395476.0
11087.0,45934.0
11121.0,8263.0
11125.0,212699.0
11160.0,18221.0
11162.0,230167.0
11166.0,33647.0
11171.0,1472169.0
11172.0,168853.0
11187.0,2353.0
